지역구분,지역명,작업명,키워드,URL,indexStatus,canonicalTarget,수집요청 여부
공통,공통,메인,올케어 서비스 메인,https://www.allcareservice.co.kr/,index,,Y
공통,공통,허브,동서울 키워드 허브,https://www.allcareservice.co.kr/sitemap-seoul,index,,Y
구/시,서초구,외벽청소,서초구 외벽청소,https://www.allcareservice.co.kr/?k=서초구-외벽청소,index,,Y
동,서초동,외벽청소,서초동 외벽청소,https://www.allcareservice.co.kr/?k=서초동-외벽청소,index,,Y
동,반포동,외벽청소,반포동 외벽청소,https://www.allcareservice.co.kr/?k=반포동-외벽청소,index,,Y
동,잠원동,외벽청소,잠원동 외벽청소,https://www.allcareservice.co.kr/?k=잠원동-외벽청소,index,,Y
동,방배동,외벽청소,방배동 외벽청소,https://www.allcareservice.co.kr/?k=방배동-외벽청소,index,,Y
동,양재동,외벽청소,양재동 외벽청소,https://www.allcareservice.co.kr/?k=양재동-외벽청소,index,,Y
동,우면동,외벽청소,우면동 외벽청소,https://www.allcareservice.co.kr/?k=우면동-외벽청소,index,,Y
동,내곡동,외벽청소,내곡동 외벽청소,https://www.allcareservice.co.kr/?k=내곡동-외벽청소,index,,Y
구/시,서초구,유리창청소,서초구 유리창청소,https://www.allcareservice.co.kr/?k=서초구-유리창청소,index,,Y
동,서초동,유리창청소,서초동 유리창청소,https://www.allcareservice.co.kr/?k=서초동-유리창청소,index,,Y
동,반포동,유리창청소,반포동 유리창청소,https://www.allcareservice.co.kr/?k=반포동-유리창청소,index,,Y
동,잠원동,유리창청소,잠원동 유리창청소,https://www.allcareservice.co.kr/?k=잠원동-유리창청소,index,,Y
동,방배동,유리창청소,방배동 유리창청소,https://www.allcareservice.co.kr/?k=방배동-유리창청소,index,,Y
동,양재동,유리창청소,양재동 유리창청소,https://www.allcareservice.co.kr/?k=양재동-유리창청소,index,,Y
동,우면동,유리창청소,우면동 유리창청소,https://www.allcareservice.co.kr/?k=우면동-유리창청소,index,,Y
동,내곡동,유리창청소,내곡동 유리창청소,https://www.allcareservice.co.kr/?k=내곡동-유리창청소,index,,Y
구/시,서초구,화재청소,서초구 화재청소,https://www.allcareservice.co.kr/?k=서초구-화재청소,index,,Y
동,서초동,화재청소,서초동 화재청소,https://www.allcareservice.co.kr/?k=서초동-화재청소,index,,Y
동,반포동,화재청소,반포동 화재청소,https://www.allcareservice.co.kr/?k=반포동-화재청소,index,,Y
동,잠원동,화재청소,잠원동 화재청소,https://www.allcareservice.co.kr/?k=잠원동-화재청소,index,,Y
동,방배동,화재청소,방배동 화재청소,https://www.allcareservice.co.kr/?k=방배동-화재청소,index,,Y
동,양재동,화재청소,양재동 화재청소,https://www.allcareservice.co.kr/?k=양재동-화재청소,index,,Y
동,우면동,화재청소,우면동 화재청소,https://www.allcareservice.co.kr/?k=우면동-화재청소,index,,Y
동,내곡동,화재청소,내곡동 화재청소,https://www.allcareservice.co.kr/?k=내곡동-화재청소,index,,Y
구/시,서초구,바닥왁스코팅,서초구 바닥왁스코팅,https://www.allcareservice.co.kr/?k=서초구-바닥왁스코팅,index,,Y
동,서초동,바닥왁스코팅,서초동 바닥왁스코팅,https://www.allcareservice.co.kr/?k=서초동-바닥왁스코팅,index,,Y
동,반포동,바닥왁스코팅,반포동 바닥왁스코팅,https://www.allcareservice.co.kr/?k=반포동-바닥왁스코팅,index,,Y
