지역명,작업명,최종 대표 URL,수정 전 HTTP 상태,수정 후 HTTP 상태,canonical,통합 허브 포함 여부,XML Sitemap 포함 여부,도시명 포함형 alias 존재 여부,alias 리다이렉트 대상,검수 결과
"덕양구","외벽청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%99%B8%EB%B2%BD%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%99%B8%EB%B2%BD%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","외벽청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EC%99%B8%EB%B2%BD%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%99%B8%EB%B2%BD%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%99%B8%EB%B2%BD%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","유리창청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9C%A0%EB%A6%AC%EC%B0%BD%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9C%A0%EB%A6%AC%EC%B0%BD%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","유리창청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9C%A0%EB%A6%AC%EC%B0%BD%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9C%A0%EB%A6%AC%EC%B0%BD%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%9C%A0%EB%A6%AC%EC%B0%BD%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","화재청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%99%94%EC%9E%AC%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%99%94%EC%9E%AC%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","화재청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%ED%99%94%EC%9E%AC%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%99%94%EC%9E%AC%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%ED%99%94%EC%9E%AC%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
"덕양구","바닥왁스코팅","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EB%B0%94%EB%8B%A5%EC%99%81%EC%8A%A4%EC%BD%94%ED%8C%85","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EB%B0%94%EB%8B%A5%EC%99%81%EC%8A%A4%EC%BD%94%ED%8C%85","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","바닥왁스코팅","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EB%B0%94%EB%8B%A5%EC%99%81%EC%8A%A4%EC%BD%94%ED%8C%85","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EB%B0%94%EB%8B%A5%EC%99%81%EC%8A%A4%EC%BD%94%ED%8C%85","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EB%B0%94%EB%8B%A5%EC%99%81%EC%8A%A4%EC%BD%94%ED%8C%85","정상 (301 리다이렉트)"
"덕양구","어닝청소","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%96%B4%EB%8B%9D%EC%B2%AD%EC%86%8C","404","200","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%96%B4%EB%8B%9D%EC%B2%AD%EC%86%8C","Y","Y","Y","N/A","정상 (HTTP 200)"
"고양 덕양구","어닝청소","https://www.allcareseoul.co.kr/?k=%EA%B3%A0%EC%96%91%20%EB%8D%95%EC%96%91%EA%B5%AC-%EC%96%B4%EB%8B%9D%EC%B2%AD%EC%86%8C","200","301","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%96%B4%EB%8B%9D%EC%B2%AD%EC%86%8C","N","N","N/A","https://www.allcareseoul.co.kr/?k=%EB%8D%95%EC%96%91%EA%B5%AC-%EC%96%B4%EB%8B%9D%EC%B2%AD%EC%86%8C","정상 (301 리다이렉트)"
